row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
105, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452955,SRR2859199,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_15_1
106, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452870,SRR2859200,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_16_1
107, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452956,SRR2859201,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_17_1
108, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452871,SRR2859202,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_18_1
109, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452957,SRR2859203,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_19_1
110, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452863,SRR2859204,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_2_1
111, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452872,SRR2859205,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_20_1
112, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452958,SRR2859206,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_21_1
113, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452873,SRR2859207,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_22_1
114, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452959,SRR2859208,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_23_1
115, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452874,SRR2859209,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_24_1
116, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452864,SRR2859211,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_4_1
117, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452950,SRR2859212,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_5_1
118, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452865,SRR2859213,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_6_1
119, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452951,SRR2859214,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_7_1
120, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452866,SRR2859215,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_8_1
121, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452952,SRR2859216,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_9_1
122, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452783,SRR2859217,Machado:Bowdoin:Maine:North_America:Oct:01:2011:H_1_1
123, Machado,Drosophila_simulans,44,I,North_America,USA,Florida,Homestead,25.5,-80.477,2011,May,01,SAMN03452973,SRR2859218,Machado:Homestead:Florida:North_America:May:01:2011:H_11_1
124, Machado,Drosophila_simulans,44,I,North_America,USA,Florida,Homestead,25.5,-80.477,2011,May,01,SAMN03452974,SRR2859219,Machado:Homestead:Florida:North_America:May:01:2011:H_13_1
125, Machado,Drosophila_simulans,44,I,North_America,USA,Florida,Homestead,25.5,-80.477,2011,May,01,SAMN03452975,SRR2859220,Machado:Homestead:Florida:North_America:May:01:2011:H_15_1
126, Machado,Drosophila_simulans,44,I,North_America,USA,Florida,Homestead,25.5,-80.477,2011,May,01,SAMN03452976,SRR2859221,Machado:Homestead:Florida:North_America:May:01:2011:H_17_1
127, Machado,Drosophila_simulans,44,I,North_America,USA,Florida,Homestead,25.5,-80.477,2011,May,01,SAMN03452977,SRR2859222,Machado:Homestead:Florida:North_America:May:01:2011:H_19_1
128, Machado,Drosophila_simulans,44,I,North_America,USA,Florida,Homestead,25.5,-80.477,2011,May,01,SAMN03452978,SRR2859223,Machado:Homestead:Florida:North_America:May:01:2011:H_21_1
129, Machado,Drosophila_simulans,44,I,North_America,USA,Florida,Homestead,25.5,-80.477,2011,May,01,SAMN03452979,SRR2859224,Machado:Homestead:Florida:North_America:May:01:2011:H_23_1
